t,Vehicle_State,shutdown_reason
1751195965.549450,4.000000,0.000000
1751195965.559500,4.000000,0.000000
1751195965.569500,4.000000,0.000000
1751195965.579550,4.000000,0.000000
1751195965.589500,4.000000,0.000000
1751195965.599500,4.000000,0.000000
1751195965.609450,4.000000,0.000000
1751195965.619450,4.000000,0.000000
1751195965.629500,4.000000,0.000000
1751195965.639450,4.000000,0.000000
1751195965.649500,4.000000,0.000000
1751195965.659450,4.000000,0.000000
1751195965.669450,4.000000,0.000000
1751195965.679500,4.000000,0.000000
1751195965.689500,4.000000,0.000000
1751195965.699500,4.000000,0.000000
1751195965.709550,4.000000,0.000000
1751195965.719500,4.000000,0.000000
1751195965.729500,4.000000,0.000000
1751195965.739450,4.000000,0.000000
1751195965.749500,4.000000,0.000000
1751195965.759450,4.000000,0.000000
1751195965.769500,4.000000,0.000000
1751195965.779500,4.000000,0.000000
1751195965.789450,4.000000,0.000000
1751195965.799500,4.000000,0.000000
1751195965.809500,4.000000,0.000000
1751195965.819500,4.000000,0.000000
1751195965.829450,4.000000,0.000000
1751195965.839450,4.000000,0.000000
1751195965.849450,4.000000,0.000000
1751195965.859500,4.000000,0.000000
1751195965.869500,4.000000,0.000000
1751195965.879500,4.000000,0.000000
1751195965.889450,4.000000,0.000000
1751195965.899500,4.000000,0.000000
1751195965.909450,4.000000,0.000000
1751195965.919450,4.000000,0.000000
1751195965.929450,4.000000,0.000000
1751195965.939500,4.000000,0.000000
1751195965.949500,4.000000,0.000000
1751195965.959450,4.000000,0.000000
1751195965.969450,4.000000,0.000000
1751195965.979500,4.000000,0.000000
1751195965.989700,4.000000,0.000000
1751195965.999450,4.000000,0.000000
1751195966.009450,4.000000,0.000000
1751195966.019450,4.000000,0.000000
1751195966.029500,4.000000,0.000000
1751195966.039500,4.000000,0.000000
1751195966.049450,4.000000,0.000000
1751195966.059500,4.000000,0.000000
1751195966.069500,4.000000,0.000000
1751195966.079450,4.000000,0.000000
1751195966.089500,4.000000,0.000000
1751195966.099500,4.000000,0.000000
1751195966.109450,4.000000,0.000000
1751195966.119450,4.000000,0.000000
1751195966.129500,4.000000,0.000000
1751195966.139450,4.000000,0.000000
1751195966.149500,4.000000,0.000000
1751195966.159450,4.000000,0.000000
1751195966.169700,4.000000,0.000000
1751195966.179450,4.000000,0.000000
